date,action,ticker,shares,price,cash_delta,cash_after
2026-07-17,buy,MSFT,6.0,393.82000732421875,-2362.9200439453125,7637.0799560546875
2026-07-21,buy,XOM,16.0,151.7100067138672,-2427.360107421875,5209.719848632812
