date,cash,equity,total,holdings
2026-07-17,7637.079956054687,2362.9200439453125,10000.0,"{'NVDA': 0.0, 'MSFT': 6.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-20,7637.079956054687,2413.7400512695312,10050.820007324219,"{'NVDA': 0.0, 'MSFT': 6.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-21,5209.719848632812,4813.860107421875,10023.579956054688,"{'NVDA': 0.0, 'MSFT': 6.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 16.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-22,5209.719848632812,4813.239929199219,10022.959777832031,"{'NVDA': 0.0, 'MSFT': 6.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 16.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-23,5209.719848632812,4799.719909667969,10009.439758300781,"{'NVDA': 0.0, 'MSFT': 6.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 16.0, 'WMT': 0.0, 'DIS': 0.0}"
