date,cash,equity,total,holdings
2026-07-09,10000.0,0.0,10000.0,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-10,10000.0,0.0,10000.0,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-13,10000.0,0.0,10000.0,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-14,10000.0,0.0,10000.0,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-15,10000.0,0.0,10000.0,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
