date,cash,NVDA,MSFT,JPM,KO,JNJ,XOM,WMT,DIS
2026-07-10,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-10,7679.439926147461,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
