date,action,ticker,shares,price,cash_delta,cash_after
2026-07-16,buy,MSFT,6.0,401.1000061035156,-2406.6000366210938,7593.399963378906
2026-07-17,buy,JPM,7.0,341.1000061035156,-2387.7000427246094,5205.699920654297
2026-07-20,buy,MSFT,3.0,402.2900085449219,-1206.8700256347656,3998.8298950195312
