date,action,ticker,shares,price,cash_delta,cash_after
2026-07-15,buy,JPM,7.0,346.9100036621094,-2428.3700256347656,7571.629974365234
2026-07-16,buy,MSFT,6.0,401.1000061035156,-2406.6000366210938,5165.029937744141
2026-07-17,buy,JPM,4.0,341.1000061035156,-1364.4000244140625,3800.629913330078
